index,text
34,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
35,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
36,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
37,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
38,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
39,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
40,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
41,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
42,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
43,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
44,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
45,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
46,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
47,is strangely sad about LiLo and SamRo breaking up. 
48,@tea oh! i'm so sorry  i didn't think about that before retweeting.
49,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
50,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
51,our duck and chicken are taking wayyy too long to hatch 
52,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
53,I need a hug 
54,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
55,@oanhLove I hate when that happens... 
56,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
57,Ugh....92 degrees tomorrow 
58,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
59,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
60,just leaving the parking lot of work! 
61,The Life is cool. But not for Me. 
62,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
63,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
64,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
65,Damm back to school tomorrow 
66,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
67,@katortiz  Not forever... See you soon!
68,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
69,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
70,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
71,i really hate how people diss my bands!  Trace is clearly NOT ugly!
72,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
73,Why won't you show my location?!   http://twitpic.com/2y2es
74,No picnic  my phone smells like citrus.
75,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
76,No new csi tonight.  FML
77,i think my arms are sore from tennis 
78,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
79,sleep soon... i just hate saying bye and see you tomorrow for the night. 
80,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
81,missin' the boo 
82,@markhardy1974 Me too  #itm
83,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
84,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
85,@msdrama hey missed ya at the meeting  sup mama
86,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
87,why is it always the fat ones?! 
88,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
89,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
90,wednesday my b-day! don't know what 2 do!! 
91,Poor cameron (the hills) 
92,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
93,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
94,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
95,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
96,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
97,"@stark YOU don't follow me, either  and i work for you!"
98,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
